"assetId","legacyPath","dataBusinessRole","comparison","trackedCurrentCandidates","legacySha256","reason","evidenceLevel","semanticEquivalence","runtimeEquivalence","ownerSor","treatment"
"LEGACY-PRIMARY:.env",".env","SCHEMA_OR_PERSISTENCE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","F85E1BECF0B0F5AEA67A96BD91DB86E5933AF57A68357FE05C93C4B08742BD18","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:.gitignore",".gitignore","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:.govern.toml",".govern.toml","DATA_CONFIG_REFERENCE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","CD9A6C17C4CB85F2CC6661196F326D249885FEC4FE0715A3D0AF6DB5CB9D9761","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:ALL_SOURCE_CODE.txt","ALL_SOURCE_CODE.txt","EVIDENCE_OR_COMPLIANCE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","0F5688B10DC11489B88F053BEA5A146DBCD717CB3AEDD41791A9D7A319268937","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:analytics_report.json","analytics_report.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","65ADC9247AE0591ED4B874EA2F4EC8C1816C0DE75C31BB016B85627E38D241E7","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:analytics_with_business.json","analytics_with_business.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","65ADC9247AE0591ED4B874EA2F4EC8C1816C0DE75C31BB016B85627E38D241E7","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:audit_ast_extraction.py","audit_ast_extraction.py","DECISION_OR_KNOWLEDGE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","FD154947EDFF0BAF53768E6301AD194C2695E5479D130C3B7328D3998034F936","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:audit_brain_intelligence.py","audit_brain_intelligence.py","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:audit_brain_intelligence_v2.py","audit_brain_intelligence_v2.py","EVIDENCE_OR_COMPLIANCE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","43A77E6AFA60CA0CC19788AE91457D31F2CF4DAE227E8E48F897487D71361FF8","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:audit_report.json","audit_report.json","EVIDENCE_OR_COMPLIANCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","AC24362713206EF5D8286ED0B4CC163C90D0758EF61E859562834FA624082371","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
