"root","relativePath","extension","bytes","classification","safeTextSignals","owner","sor","treatment","reason"
"C:\Users\Ghanam\Documents\Codex\2026-07-18","new-chat\outputs\cleanup-engine.js",".js","12239","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DECISION_INTELLIGENCE;EVIDENCE_COMPLIANCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-07-18","new-chat\outputs\legacy-engine-v1.1-stable.js",".js","14883","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DECISION_INTELLIGENCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-07-18","new-chat\outputs\legacy-engine.js",".js","1","HISTORICAL_SAFE_TEXT_CLASSIFIED","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-07-18","new-chat\outputs\migration-decision-engine.js",".js","6836","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DECISION_INTELLIGENCE;EVIDENCE_COMPLIANCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-07-18","new-chat\outputs\migration-registry-builder.js",".js","7794","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DECISION_INTELLIGENCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-07-18","new-chat\outputs\utils.js",".js","5336","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-api-authorization-audit.ps1",".ps1","7631","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-canonical-review-ledger-v2.ps1",".ps1","4718","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\APPLY-COMMERCIAL-DATA-CONTROL-CENTER.ps1",".ps1","12199","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-controlled-learning.ps1",".ps1","9770","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
