SOURCE,PATH,PURPOSE,CURRENT_CANONICAL_EQUIVALENT,UNIQUE_VALUE,RUNTIME_RELEVANCE,PROVENANCE_RELEVANCE,DECISION,EVIDENCE,SHA256
RETIRED,AGENTS.md,Documentation/configuration/reference,AGENTS.md,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,ed6d608b1a695da56a29a9a75aadbb667aea1fc5faa39cd3c6da1d61af35e05f
RETIRED,analytics_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,65adc9247ae0591ed4b874ea2f4ec8c1816c0de75c31bb016b85627e38d241e7
RETIRED,analytics_with_business.json,Structured state/data/report material,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,65adc9247ae0591ed4b874ea2f4ec8c1816c0de75c31bb016b85627e38d241e7
RETIRED,audit_ast_extraction.py,"Evidence, inventory, or historical decision context",audit_ast_extraction.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,fd154947edff0baf53768e6301ad194c2695e5479d130c3b7328d3998034f936
RETIRED,audit_brain_intelligence.py,Cognitive/brain capability,audit_brain_intelligence.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,ee73af57c4437695cd1c0deda71f8b7d4319d2a1b089395fdd82a61672570964
RETIRED,audit_brain_intelligence_v2.py,Cognitive/brain capability,audit_brain_intelligence_v2.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,43a77e6afa60ca0cc19788ae91457d31f2cf4dae227e8e48f897487d71361ff8
RETIRED,audit_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,ac24362713206ef5d8286ed0b4cc163c90d0758ef61e859562834fa624082371
RETIRED,brain.py,Cognitive/brain capability,brain.py,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Three-way AST proof: donor-only functions/classes=0; canonical brain is active and larger.,ef51b609e8079364b06065ef9cf85d91d9dc2d89020341b5f8acadecabfdc33e
RETIRED,build_evidence_layer.py,"Evidence, inventory, or historical decision context",build_evidence_layer.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,a0f744c2f52f2117589c19de129f1806f18e53e5d51c10ae0e360224c5b71be8
RETIRED,business_assets_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,0d65b5ebb914bbb18aefe459c4875c224c7ad0d736402a02d11bbf9f74b111b5
